year,state,total_population,with_a_disability,no_disability
2016,Iowa,2447136,336794,2110342
2016,Kansas,2217882,340352,1877530
2016,Kentucky,3460365,728957,2731408
2016,Louisiana,3587655,652407,2935248
2016,Maine,1094477,195503,898974
2016,Maryland,4722685,610973,4111712
2016,Massachusetts,5528750,733268,4795482
2016,Michigan,7893861,1333269,6560592
2016,Minnesota,4319092,559898,3759194
2016,Mississippi,2285997,443632,1842365
2016,Missouri,4751311,822090,3929221
2016,Montana,824649,139322,685327
2016,Nebraska,1454799,209437,1245362
2016,Nevada,2305605,357511,1948094
2016,New Hampshire,1089959,158168,931791
2016,New Jersey,7091868,874274,6217594
2016,New Mexico,1616431,292155,1324276
2016,New York,15812865,2100274,13712591
2016,North Carolina,7928881,1287604,6641277
2016,North Dakota,584078,79834,504244
2016,Ohio,9144782,1516107,7628675
2016,Oklahoma,2987689,581287,2406402
2016,Oregon,3288769,563503,2725266
2016,Pennsylvania,10225991,1671012,8554979
2016,Rhode Island,858295,130920,727375
2016,South Carolina,3888209,691605,3196604
2016,South Dakota,657101,96431,560670
2016,Tennessee,5217779,957639,4260140
2016,Texas,20897388,2964174,17933214
2016,Utah,2203753,271073,1932680
2016,Vermont,513873,85196,428677
2016,Virginia,6549809,901513,5648296
2016,Washington,5738488,884201,4854287
2016,West Virginia,1471238,341949,1129289
2016,Wisconsin,4575364,638222,3937142
2016,Wyoming,450367,73277,377090
2016,Puerto Rico,2782280,671958,2110322
